"method","strat","array","prob","SE","df","asymp.LCL","asymp.UCL"
"raw","id_obs","Lym",0.370231970577423,0.0027173394418598,Inf,0.36492205358421,0.375573458923662
"ml","id_obs","Lym",0.291853400105017,0.00245014139385351,Inf,0.287074538619109,0.296678708941139
"gm","id_obs","Lym",0.340886151334621,0.00262798652012974,Inf,0.335754336052059,0.346055539833202
"ber_s","id_obs","Lym",0.288798558593034,0.00243786257756152,Inf,0.2840440103202,0.293600055737629
"ber_p","id_obs","Lym",0.399915175139295,0.00279483065572176,Inf,0.39445012988744,0.405405246275592
"mc","id_obs","Lym",0.426751212428647,0.00285373902641093,Inf,0.421167581024226,0.43235357654266
"z","id_obs","Lym",0.482377848444333,0.00294187544455868,Inf,0.476614479990357,0.488145909297342
"original","id_obs","Lym",0.432802696183671,0.0028655559322664,Inf,0.427195175317646,0.438427484763014
"pagerank","id_obs","Lym",0.0843977289212315,0.00124044465365267,Inf,0.0819980772017727,0.0868609611283124
"random","id_obs","Lym",0.0262578916103233,0.000653450538986908,Inf,0.0250070950934744,0.0275694810107066
"raw","id_hid","Lym",0.0687441038125514,0.00110519104523672,Inf,0.0666093236343668,0.0709421020340575
"ml","id_hid","Lym",0.0132437625226589,0.000456301782908554,Inf,0.0123785852079061,0.0141685422266606
"gm","id_hid","Lym",0.0250751335169993,0.000637632190727238,Inf,0.0238552797373297,0.0263556810482099
"ber_s","id_hid","Lym",0.068744103812551,0.00110519104523671,Inf,0.0666093236343664,0.070942102034057
"ber_p","id_hid","Lym",0.066848685134021,0.00108802667391803,Inf,0.0647475098585664,0.0690130158240783
"mc","id_hid","Lym",0.0386826136202112,0.000804735644971741,Inf,0.0371358575977944,0.0402910981706833
"z","id_hid","Lym",0.0492837540578385,0.000918674365949672,Inf,0.0475140550812197,0.0511158295745916
"original","id_hid","Lym",0.352454692039683,0.00266472713640381,Inf,0.347249723969925,0.357694925659344
"pagerank","id_hid","Lym",0.0183729207017228,0.000541161779464844,Inf,0.0173417671332327,0.0194641729105194
"random","id_hid","Lym",0.0101273080200568,0.000397237119111562,Inf,0.00937763629021296,0.0109362487646408
"raw","id_all","Lym",0.250722143828029,0.00227271363496294,Inf,0.246294087453556,0.255202855030759
"ml","id_all","Lym",0.0470933418189212,0.000895999313876824,Inf,0.0453680148033512,0.048880922645095
"gm","id_all","Lym",0.0973417063692168,0.00134484307863344,Inf,0.0947375139209505,0.100009575722407
"ber_s","id_all","Lym",0.193202138156048,0.00197868666271937,Inf,0.189353558664213,0.197109919649485
"ber_p","id_all","Lym",0.260841338530927,0.00231881507916501,Inf,0.256322230194259,0.265411686265353
"mc","id_all","Lym",0.151204063819759,0.00172639568844114,Inf,0.147851415185799,0.154618942186599
"z","id_all","Lym",0.172156247473239,0.00185656901529445,Inf,0.168547839515667,0.175825570868095
"original","id_all","Lym",0.398368701004347,0.0027911130723552,Inf,0.392911116963344,0.403851663052354
"pagerank","id_all","Lym",0.0536788779031972,0.000963009568610902,Inf,0.051822414639828,0.055597946648844
"random","id_all","Lym",0.0166989167451012,0.000514781023767843,Inf,0.0157193625509946,0.0177384119271036
"raw","id_obs","ALL",0.404993606766207,0.00282526376721892,Inf,0.399468496986313,0.410542892914142
"ml","id_obs","ALL",0.323030692464908,0.00260463033378621,Inf,0.317946943819238,0.328156617705774
"gm","id_obs","ALL",0.374531090270516,0.00275517477260678,Inf,0.369146858053693,0.379946556816128
"ber_s","id_obs","ALL",0.319796888413177,0.00259381931666906,Inf,0.314734646039011,0.324901948476426
"ber_p","id_obs","ALL",0.43553637189402,0.00288147443417482,Inf,0.429897384375965,0.441192084670138
"mc","id_obs","ALL",0.462918786874712,0.00291987748444215,Inf,0.457201064897086,0.468646277322845
"z","id_obs","ALL",0.518991634916929,0.00296279683386108,Inf,0.513182355390838,0.52479578417319
"original","id_obs","ALL",0.469063482198301,0.00292693149033502,Inf,0.463331140338146,0.474803999483006
"pagerank","id_obs","ALL",0.0964313566100256,0.00139923671749292,Inf,0.0937235219023093,0.0992088611740264
"random","id_obs","ALL",0.0302759171400175,0.000750188681822398,Inf,0.0288396613713199,0.0317813597199818
