"reference","categ","property","nx","ny","meanx","meany","medianx","mediany","estimate","lower","upper","pvalue","fdr"
"hid_pathway","hid_nopathway","dist_mean",1060,2008,4.28291202742059,4.30297693961149,4.19416498993964,4.21644150617994,-0.0361942764680022,-0.0750454276872039,0.00288050448356507,0.070289057545696,0.070289057545696
"obs_pathway","obs_nopathway","dist_mean",3479,2442,3.98577830244426,4.15458999463024,3.88642898217366,4.04800229951135,-0.175211773327923,-0.201681986861501,-0.148843790522771,1.65254213364554e-37,3.30508426729107e-37
"hid_pathway","hid_nopathway","dist_abs",1060,2008,9.92924528301887,10.0149402390438,10,10,-1.64358495702288e-06,-5.99629057546652e-05,-7.18945025197179e-05,0.0022809660929339,0.0022809660929339
"obs_pathway","obs_nopathway","dist_abs",3479,2442,9.54124748490946,9.8022113022113,10,10,-5.21695716360071e-05,-4.62798243878872e-05,-3.85937511178626e-05,1.87822706911593e-36,3.75645413823185e-36
"hid_pathway","hid_nopathway","degree",1060,2008,5.45377358490566,3.66235059760956,3,2,7.14158393725674e-05,6.20226505815653e-05,0.99997795258709,1.47125657529384e-15,1.76550789035261e-15
"obs_pathway","obs_nopathway","degree",3479,2442,11.9238286864041,5.74610974610975,6,3,2.00002734901783,1.99995851944995,2.00006040766917,8.88978770806084e-79,2.66693631241825e-78
"hid_pathway","hid_nopathway","pagerank",1060,2008,8.83595081528956e-05,6.50916808826663e-05,5.62665794522465e-05,4.3548537544849e-05,-3.56423728713223e-06,-1.46774568457903e-05,3.97507158360588e-05,2.36200519379899e-18,2.83440623255879e-18
"obs_pathway","obs_nopathway","pagerank",3479,2442,0.000159012738441971,9.10849750638491e-05,9.1943986701975e-05,6.0723206138562e-05,6.88810185828122e-05,1.98493400039332e-06,1.120501956975e-05,4.58403226517483e-82,1.37520967955245e-81
"hid_pathway","hid_nopathway","bias",1060,2008,0.46949346347425,0.430841102838776,0.47923713330984,0.433985478602295,0.0364823327221101,0.027559245354759,0.046206059307125,2.47290958394788e-18,2.96749150073746e-18
"obs_pathway","obs_nopathway","bias",3479,2442,0.764772598483429,0.777053285869426,0.753402912142399,0.77201711292475,-0.0148188909739559,-0.0182975039310791,-0.011376925428135,6.77185427263152e-17,6.77185427263152e-17
