ncbi-geneid:1	hsa:1
ncbi-geneid:10	hsa:10
ncbi-geneid:10000	hsa:10000
ncbi-geneid:100008586	hsa:100008586
ncbi-geneid:100008587	hsa:100008587
ncbi-geneid:100008588	hsa:100008588
ncbi-geneid:100008589	hsa:100008589
ncbi-geneid:100009676	hsa:100009676
ncbi-geneid:10001	hsa:10001
ncbi-geneid:10002	hsa:10002
ncbi-geneid:10003	hsa:10003
ncbi-geneid:100	hsa:100
ncbi-geneid:1000	hsa:1000
ncbi-geneid:100009613	hsa:100009613
ncbi-geneid:100009667	hsa:100009667
ncbi-geneid:100033411	hsa:100033411
ncbi-geneid:100033414	hsa:100033414
ncbi-geneid:100033415	hsa:100033415
ncbi-geneid:100033417	hsa:100033417
ncbi-geneid:100033420	hsa:100033420
ncbi-geneid:100033421	hsa:100033421
ncbi-geneid:100033422	hsa:100033422
ncbi-geneid:100033423	hsa:100033423
ncbi-geneid:100033425	hsa:100033425
ncbi-geneid:100033427	hsa:100033427
ncbi-geneid:100033428	hsa:100033428
ncbi-geneid:100033429	hsa:100033429
ncbi-geneid:100033430	hsa:100033430
ncbi-geneid:100033413	hsa:100033413
ncbi-geneid:100033418	hsa:100033418
ncbi-geneid:100033419	hsa:100033419
ncbi-geneid:100033426	hsa:100033426
ncbi-geneid:100033416	hsa:100033416
ncbi-geneid:100033424	hsa:100033424
ncbi-geneid:100033431	hsa:100033431
ncbi-geneid:100033432	hsa:100033432
ncbi-geneid:100033433	hsa:100033433
ncbi-geneid:100033434	hsa:100033434
ncbi-geneid:100033435	hsa:100033435
ncbi-geneid:100033436	hsa:100033436
ncbi-geneid:100033437	hsa:100033437
ncbi-geneid:100033439	hsa:100033439
ncbi-geneid:100033440	hsa:100033440
ncbi-geneid:100033441	hsa:100033441
ncbi-geneid:100033442	hsa:100033442
ncbi-geneid:100033443	hsa:100033443
ncbi-geneid:100033444	hsa:100033444
ncbi-geneid:100033445	hsa:100033445
ncbi-geneid:100033446	hsa:100033446
ncbi-geneid:100033447	hsa:100033447
ncbi-geneid:100033448	hsa:100033448
ncbi-geneid:100033449	hsa:100033449
ncbi-geneid:100033450	hsa:100033450
ncbi-geneid:100033451	hsa:100033451
ncbi-geneid:100033453	hsa:100033453
ncbi-geneid:100033454	hsa:100033454
ncbi-geneid:100033455	hsa:100033455
ncbi-geneid:100033456	hsa:100033456
ncbi-geneid:100033458	hsa:100033458
ncbi-geneid:100033460	hsa:100033460
ncbi-geneid:100033603	hsa:100033603
ncbi-geneid:100033799	hsa:100033799
ncbi-geneid:100033800	hsa:100033800
ncbi-geneid:100033801	hsa:100033801
ncbi-geneid:100033802	hsa:100033802
ncbi-geneid:100033803	hsa:100033803
ncbi-geneid:100033804	hsa:100033804
ncbi-geneid:100033805	hsa:100033805
ncbi-geneid:100033806	hsa:100033806
ncbi-geneid:100033807	hsa:100033807
ncbi-geneid:100033808	hsa:100033808
ncbi-geneid:100033809	hsa:100033809
ncbi-geneid:100033438	hsa:100033438
ncbi-geneid:100033810	hsa:100033810
ncbi-geneid:100033811	hsa:100033811
ncbi-geneid:100033812	hsa:100033812
ncbi-geneid:100033813	hsa:100033813
ncbi-geneid:100033814	hsa:100033814
ncbi-geneid:100033815	hsa:100033815
ncbi-geneid:100033816	hsa:100033816
ncbi-geneid:100033817	hsa:100033817
ncbi-geneid:100033818	hsa:100033818
ncbi-geneid:100033820	hsa:100033820
ncbi-geneid:100033821	hsa:100033821
ncbi-geneid:100033822	hsa:100033822
ncbi-geneid:100036563	hsa:100036563
ncbi-geneid:100036564	hsa:100036564
ncbi-geneid:100036565	hsa:100036565
ncbi-geneid:100036566	hsa:100036566
ncbi-geneid:100036567	hsa:100036567
ncbi-geneid:100038246	hsa:100038246
ncbi-geneid:10004	hsa:10004
ncbi-geneid:100049587	hsa:100049587
ncbi-geneid:100049716	hsa:100049716
ncbi-geneid:10006	hsa:10006
ncbi-geneid:100033819	hsa:100033819
ncbi-geneid:100034743	hsa:100034743
ncbi-geneid:100037417	hsa:100037417
ncbi-geneid:100048912	hsa:100048912
ncbi-geneid:100049076	hsa:100049076
ncbi-geneid:10005	hsa:10005
ncbi-geneid:10007	hsa:10007
ncbi-geneid:100073347	hsa:100073347
ncbi-geneid:10008	hsa:10008
ncbi-geneid:10009	hsa:10009
ncbi-geneid:100093631	hsa:100093631
ncbi-geneid:100093698	hsa:100093698
ncbi-geneid:100101115	hsa:100101115
ncbi-geneid:100101116	hsa:100101116
ncbi-geneid:100101117	hsa:100101117
ncbi-geneid:100101118	hsa:100101118
ncbi-geneid:100101120	hsa:100101120
ncbi-geneid:100101121	hsa:100101121
ncbi-geneid:100101148	hsa:100101148
ncbi-geneid:100101266	hsa:100101266
ncbi-geneid:100101267	hsa:100101267
ncbi-geneid:100101440	hsa:100101440
ncbi-geneid:100101467	hsa:100101467
ncbi-geneid:100113378	hsa:100113378
ncbi-geneid:100113379	hsa:100113379
ncbi-geneid:100113380	hsa:100113380
ncbi-geneid:100113381	hsa:100113381
ncbi-geneid:100113382	hsa:100113382
ncbi-geneid:100113386	hsa:100113386
ncbi-geneid:100113389	hsa:100113389
ncbi-geneid:100113391	hsa:100113391
ncbi-geneid:100113392	hsa:100113392
ncbi-geneid:100113393	hsa:100113393
ncbi-geneid:100113402	hsa:100113402
ncbi-geneid:100113403	hsa:100113403
ncbi-geneid:100113404	hsa:100113404
ncbi-geneid:100113407	hsa:100113407
ncbi-geneid:100124412	hsa:100124412
ncbi-geneid:100124516	hsa:100124516
ncbi-geneid:100124533	hsa:100124533
ncbi-geneid:100124534	hsa:100124534
ncbi-geneid:100124535	hsa:100124535
ncbi-geneid:100124536	hsa:100124536
ncbi-geneid:100124537	hsa:100124537
ncbi-geneid:100124539	hsa:100124539
ncbi-geneid:100124540	hsa:100124540
ncbi-geneid:100124541	hsa:100124541
ncbi-geneid:100125556	hsa:100125556
ncbi-geneid:100126270	hsa:100126270
ncbi-geneid:100126297	hsa:100126297
ncbi-geneid:100126302	hsa:100126302
ncbi-geneid:100126303	hsa:100126303
ncbi-geneid:100093630	hsa:100093630
ncbi-geneid:1001	hsa:1001
ncbi-geneid:10010	hsa:10010
ncbi-geneid:100101478	hsa:100101478
ncbi-geneid:100101629	hsa:100101629
ncbi-geneid:100101938	hsa:100101938
ncbi-geneid:10011	hsa:10011
ncbi-geneid:100113384	hsa:100113384
ncbi-geneid:100124538	hsa:100124538
ncbi-geneid:100124700	hsa:100124700
ncbi-geneid:100126301	hsa:100126301
ncbi-geneid:100125288	hsa:100125288
ncbi-geneid:100126296	hsa:100126296
ncbi-geneid:100126299	hsa:100126299
ncbi-geneid:100126304	hsa:100126304
ncbi-geneid:100126307	hsa:100126307
ncbi-geneid:100126308	hsa:100126308
ncbi-geneid:100126309	hsa:100126309
